Name,Passives,Active,Resource
The Gunsmith,Weapons Equipment Gain +Progress damage,Deal Units damage directly to target enemy ignoring Shields but not armor,"Weapons cost 1 less of your choice, 1st armor purchase per round is free"
The Bulwark,Armor Equipment Gain +3 Armor,Destroy armor equipment to Convert armor on that unit into 2x that amount in shields,"Armor cost 1 less of your choice, 1st armor purchase per round is free"
The Engineer,Utility Equipment Gain +1 Target,"Refresh the cooldown on target utility, ignore costs for this activation",Utilities cost 2 less of your choice
The Tactician,"Draw another card when using Active effects on commander cards, can play commander cards from anywhere",Draw the Top command deck card and activate it for free. Once per round,effects on command cards are free for the 1st card per turn
The Kingmaker,"You cannot be the commander, of you would become commander make another player commander. Players you designate as commander count as you being commander for missions and objectives",Once per game you can designate a new commander (Command cannot change next turn),"You can pay for other players commander cards, players you make commander draw an additional card each turn"
The Drillmaster,Units under Rank 5 gain Attack/HP = double your rank - Their rank,Recruit the Lowest Rank unit in shop for free,Units Under rank 5 cost no alien
The Specialist,"You can purchase units at 1 rank higher, units over rank 5 gain +5 Attack/HP",Recruit the Highest Rank unit in shop for no Alien cost,Units Over 4 rank cost half alien
The Driver,"Vehicles require -3 rank, other units require +1","Reveal the top of the shop deck until a Vehicle is shown matching your rank, Recruit this unit for free, Shuffle the deck",Vehicles cost half Tech and Organic
The Recruiter,"Infantry require -2 rank, other units require +1","Reveal the top of the shop deck until an Infantry is shown matching your rank, Recruit this unit for free, Shuffle the deck",Infantry cost half Organic
The Pilot,"Mechs require -3 rank, other units require +1","Reveal the top of the shop deck until a Mech is shown matching your rank, Recruit this unit for free, Shuffle the deck",Mech cost half Tech
The Doctor,Medical bay heals double when your workers are placed there.,"Activate on Unit death, Move this unit to med bay with its equipment, this effect can stack ontop of another unit.",Gain +rank organic when collecting from the medical
The Jailer,Contained enemies are not consumed while you have a worker at Containment Block,Combine both units from Containment Block and move them to your lane,Containment Block upgrades Cost no alien
The Reclaimer,1st item put into recycling is returned to your hand each turn,"Search the Recycling for an equipment matching your rank or lower, Return this item to your hand",You can purchase equipment from Recycling at half the cost
The Pathfinder,your scouts have double combat stats,Once per lane prevent reveal ability on the next 2 enemies (can be used to prevent current reveal),Scouts rank is not needed to recruit
The Breaker,Units in your lane Shred on hit = your rank,Remove all Shields and Armor from active enemies.,Gain Shield = armor/shields lost from enemies
The Bastion,"Units in your lane Shred 2 when entering combat, they also start with Shield = your rank","Once per round, All Friendlies gain Shield = 10x your rank",Double Shield gains on units
The Chessmaster,"You can Reassign units at any time. Reassigned units Take half damage from their 1st hit of combat, (once per lane)","Swap location of 2 enemy units, ignore reveals, they take double damage",Equipment with moblility skills -1 Tech
